우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|13|4415035021101520000018030|||3611035021||도계리||0|152|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|15|4415035021101510019016297|||3611035021||도계리||0|151|01|19||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|5|4415035021101510011018007|||3611035021||도계리||0|151|01|11||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|14|4415035021102040002018042|||3611035021||도계리||0|204|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|12|4415035021102040001018059|||3611035021||도계리||0|204|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|16|4415035021102030001018041|||3611035021||도계리||0|203|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|12|14|4415035021101600016018120|||3611035021||도계리||0|160|01|16||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|12|12|4415035021101600008018046|||3611035021||도계리||0|160|01|8||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|19|0|4415035021101490001017980|||3611035021||도계리||0|149|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|53|0|4415035021102720001016272|||3611035021||도계리||0|272|01|1||
